temporal_change,dispersal,replicate,time,predicted_species,environment_1,community,N
no,dispersal,1,1,rot,dark,monoculture,207
no,dispersal,1,1,rot,dark,polyculture,13
no,dispersal,1,1,rot,light,monoculture,173
no,dispersal,1,1,rot,light,polyculture,3
no,dispersal,1,1,spi,dark,monoculture,63
no,dispersal,1,1,spi,dark,polyculture,3
no,dispersal,1,1,spi,light,monoculture,18
no,dispersal,1,1,spi,light,polyculture,1
no,dispersal,1,1,tet,dark,monoculture,194
no,dispersal,1,1,tet,dark,polyculture,33
no,dispersal,1,1,tet,light,monoculture,99
no,dispersal,1,1,tet,light,polyculture,28
no,dispersal,1,2,col,dark,monoculture,339
no,dispersal,1,2,col,dark,polyculture,24
no,dispersal,1,2,col,light,monoculture,65
no,dispersal,1,2,col,light,polyculture,66
no,dispersal,1,2,eug,dark,monoculture,567
no,dispersal,1,2,eug,dark,polyculture,20
no,dispersal,1,2,eug,light,monoculture,3135
no,dispersal,1,2,eug,light,polyculture,38
no,dispersal,1,2,eup,dark,monoculture,47
no,dispersal,1,2,eup,dark,polyculture,7
no,dispersal,1,2,eup,light,monoculture,222
no,dispersal,1,2,eup,light,polyculture,4
no,dispersal,1,2,pau,dark,monoculture,89
no,dispersal,1,2,pau,dark,polyculture,5
no,dispersal,1,2,pau,light,monoculture,66
no,dispersal,1,2,pau,light,polyculture,39
no,dispersal,1,2,rot,dark,monoculture,108
no,dispersal,1,2,rot,dark,polyculture,6
no,dispersal,1,2,rot,light,monoculture,150
no,dispersal,1,2,rot,light,polyculture,11
no,dispersal,1,2,spi,dark,monoculture,42
no,dispersal,1,2,spi,dark,polyculture,1
no,dispersal,1,2,spi,light,monoculture,19
no,dispersal,1,2,spi,light,polyculture,1
no,dispersal,1,2,tet,dark,monoculture,401
no,dispersal,1,2,tet,dark,polyculture,4
no,dispersal,1,2,tet,light,monoculture,101
no,dispersal,1,2,tet,light,polyculture,11
no,dispersal,1,3,col,dark,monoculture,142
no,dispersal,1,3,col,dark,polyculture,71
no,dispersal,1,3,col,light,monoculture,71
no,dispersal,1,3,col,light,polyculture,20
no,dispersal,1,3,eug,dark,monoculture,124
no,dispersal,1,3,eug,dark,polyculture,9
no,dispersal,1,3,eug,light,monoculture,870
no,dispersal,1,3,eug,light,polyculture,40
no,dispersal,1,3,eup,dark,monoculture,63
no,dispersal,1,3,eup,dark,polyculture,27
no,dispersal,1,3,eup,light,monoculture,89
